Item,Image,Price (€),Neighborhood,Zipcode,Link
Peppa Pig Buch - wie neu,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ZigAAOSwD2dgGUM5/$_2.JPG"" style=""max-height:124px;""></img>",3,Weissensee,13086,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-buch-wie-neu/1654692099-76-3433
Peppa Pig T-Shirt 98cm,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/~K0AAOSw-5dgGTTz/$_2.JPG"" style=""max-height:124px;""></img>",1,Pankow,13187,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-t-shirt-98cm/1654617866-22-3423
Buch Peppa Pig Vorlesegeschichten mit CD Hörspiel,"<img src=""https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/v-MAAOSwleJgGSVf/$_2.JPG"" style=""max-height:124px;""></img>",5,Charlottenburg,14059,https://www.ebay-kleinanzeigen.de/s-anzeige/buch-peppa-pig-vorlesegeschichten-mit-cd-hoerspiel/1654537269-76-3491
Peppa Wutz Familie,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FFMAAOSwxeNgF~3n/$_2.JPG"" style=""max-height:124px;""></img>",15,Mitte,10115,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-familie/1653700690-23-3374
"Kinderbücher Tabaluga, Eiskönigin (Frozen), Peppa Pig","<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/IG8AAOSw1vFgF8he/$_2.JPG"" style=""max-height:124px;""></img>",,Tempelhof,12277,https://www.ebay-kleinanzeigen.de/s-anzeige/kinderbuecher-tabaluga-eiskoenigin-frozen-peppa-pig/1653420033-76-3433
Peppa paket,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/o5AAAOSw5WdgFs0V/$_2.JPG"" style=""max-height:124px;""></img>",18,Mitte,10115,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-paket/1652726101-23-3438
Big Bobby Car Peppa pig pink,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/AuUAAOSwbIlgFr09/$_2.JPG"" style=""max-height:124px;""></img>",3,Steglitz,12203,https://www.ebay-kleinanzeigen.de/s-anzeige/big-bobby-car-peppa-pig-pink/1652591253-23-9672
Puzzelbuch von Peppa Wutz,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MnwAAOSwRkNgFqma/$_2.JPG"" style=""max-height:124px;""></img>",3,Charlottenburg,13629,https://www.ebay-kleinanzeigen.de/s-anzeige/puzzelbuch-von-peppa-wutz/1652418204-23-3483
Würfelpuzzel 3+ Peppa Wutz Eichhorn Holz 12 Bausteine mit OVP,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/XosAAOSw1YNgHHZC/$_2.JPG"" style=""max-height:124px;""></img>",3,Friedrichshain,10243,https://www.ebay-kleinanzeigen.de/s-anzeige/wuerfelpuzzel-3-peppa-wutz-eichhorn-holz-12-bausteine-mit-ovp/1651656257-23-3354
Peppa Pig Kinder Baby Bettwäsche Set *Sofort Versand*,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMDk3/z/m40AAOSwJ1ZgFacI/$_2.JPG"" style=""max-height:124px;""></img>",70,Hellersdorf,12627,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-kinder-baby-bettwaesche-set-sofort-versand-/1651601052-258-9668
